transakcja_id,produkt,ilość,cena,klient_id
1,D,6,150,694
2,D,8,150,329
3,B,4,200,40
4,D,5,150,671
5,B,4,200,19
6,A,3,120,250
7,E,5,300,833
8,D,9,150,273
9,B,8,200,793
10,C,8,80,338
11,D,8,150,585
12,A,8,120,901
13,A,7,120,485
14,C,8,80,765
15,B,8,200,140
16,D,8,150,916
17,B,7,200,756
18,A,1,120,195
19,B,4,200,730
20,A,4,120,547
21,B,5,200,393
22,C,6,80,327
23,E,4,300,747
24,C,2,80,948
25,C,6,80,916
26,E,8,300,368
27,E,8,300,178
28,D,7,150,289
29,D,6,150,274
30,C,2,80,521
31,C,7,80,872
32,A,5,120,812
33,A,6,120,81
34,D,8,150,163
35,D,8,150,511
36,A,3,120,183
37,A,7,120,243
38,B,1,200,9
39,B,1,200,989
40,A,7,120,263
41,B,9,200,31
42,E,7,300,411
43,D,5,150,585
44,D,8,150,777
45,A,2,120,734
46,C,9,80,865
47,A,6,120,17
48,B,9,200,423
49,C,2,80,806
50,B,3,200,991
51,E,8,300,10
52,B,1,200,453
53,E,7,300,481
54,E,7,300,27
55,B,1,200,710
56,B,9,200,418
57,E,8,300,852
58,C,4,80,887
59,E,5,300,926
60,D,2,150,285
61,E,9,300,697
62,C,6,80,890
63,D,3,150,354
64,A,7,120,498
65,A,9,120,781
66,C,3,80,309
67,E,2,300,938
68,B,7,200,443
69,C,7,80,898
70,D,4,150,906
71,D,9,150,69
72,A,8,120,490
73,D,1,150,916
74,C,1,80,480
75,D,5,150,706
76,C,6,80,138
77,B,3,200,600
78,A,9,120,259
79,D,6,150,431
80,C,4,80,555
81,E,7,300,495
82,A,8,120,450
83,B,9,200,234
84,C,6,80,21
85,B,6,200,894
86,B,8,200,357
87,D,5,150,800
88,D,3,150,319
89,C,3,80,135
90,E,6,300,456
91,C,2,80,735
92,E,6,300,933
93,B,6,200,12
94,A,8,120,998
95,C,7,80,65
96,C,8,80,577
97,E,9,300,310
98,B,6,200,306
99,B,3,200,159
100,E,3,300,25
101,B,1,200,868
102,D,5,150,57
103,A,4,120,872
104,C,9,80,268
105,A,9,120,759
106,C,5,80,449
107,D,4,150,542
108,B,7,200,388
109,E,6,300,743
110,D,4,150,48
111,A,2,120,128
112,E,1,300,110
113,B,4,200,204
114,D,4,150,319
115,E,1,300,588
116,D,6,150,647
117,D,4,150,614
118,B,1,200,718
119,C,1,80,860
120,E,1,300,553
121,B,8,200,686
122,D,8,150,301
123,B,2,200,556
124,C,7,80,301
125,E,8,300,977
126,C,8,80,637
127,A,7,120,107
128,E,5,300,940
129,C,1,80,934
130,D,9,150,890
131,E,7,300,815
132,E,2,300,806
133,B,6,200,329
134,D,2,150,234
135,A,1,120,20
136,C,7,80,354
137,B,2,200,997
138,C,2,80,83
139,A,5,120,133
140,A,5,120,204
141,E,7,300,151
142,A,1,120,506
143,C,8,80,195
144,D,3,150,357
145,D,4,150,786
146,E,9,300,554
147,C,4,80,484
148,C,5,80,825
149,A,7,120,803
150,C,4,80,83
151,B,1,200,942
152,A,9,120,930
153,B,4,200,635
154,E,9,300,958
155,D,6,150,801
156,E,1,300,733
157,D,3,150,544
158,E,2,300,199
159,C,9,80,257
160,B,1,200,526
161,D,9,150,848
162,A,9,120,522
163,B,8,200,855
164,A,8,120,122
165,B,1,200,718
166,B,8,200,649
167,E,3,300,241
168,D,7,150,658
169,D,1,150,541
170,B,1,200,238
171,C,5,80,535
172,C,5,80,294
173,A,8,120,154
174,A,7,120,222
175,E,8,300,442
176,B,6,200,999
177,A,6,120,545
178,A,2,120,42
179,B,6,200,681
180,E,5,300,734
181,A,3,120,35
182,E,6,300,375
183,D,8,150,611
184,E,9,300,244
185,C,1,80,254
186,C,3,80,966
187,E,3,300,990
188,C,8,80,470
189,D,1,150,551
190,B,5,200,881
191,C,3,80,27
192,C,2,80,32
193,E,8,300,627
194,D,3,150,38
195,B,7,200,700
196,E,1,300,424
197,E,6,300,494
198,D,3,150,676
199,B,8,200,884
200,D,6,150,154
201,B,2,200,74
202,D,6,150,618
203,E,7,300,105
204,E,5,300,760
205,A,3,120,28
206,C,4,80,328
207,D,4,150,178
208,A,6,120,389
209,C,1,80,221
210,D,4,150,288
211,B,4,200,867
212,C,1,80,130
213,E,9,300,105
214,A,4,120,393
215,C,7,80,957
216,C,3,80,856
217,E,3,300,695
218,D,8,150,721
219,B,8,200,58
220,E,1,300,56
221,B,2,200,451
222,D,8,150,988
223,C,1,80,947
224,B,8,200,639
225,A,8,120,365
226,A,2,120,232
227,E,4,300,646
228,D,6,150,213
229,E,9,300,774
230,E,8,300,948
231,E,8,300,592
232,A,7,120,262
233,A,9,120,938
234,E,2,300,750
235,A,3,120,391
236,D,8,150,348
237,E,6,300,647
238,A,9,120,502
239,B,4,200,273
240,E,8,300,715
241,E,3,300,842
242,D,3,150,992
243,C,8,80,470
244,C,5,80,640
245,D,3,150,887
246,D,1,150,249
247,D,3,150,150
248,C,9,80,304
249,D,5,150,554
250,A,2,120,733
251,E,7,300,845
252,E,2,300,369
253,B,4,200,933
254,B,7,200,398
255,E,4,300,292
256,A,7,120,520
257,C,7,80,257
258,C,1,80,985
259,A,6,120,634
260,C,9,80,222
261,D,2,150,640
262,E,3,300,327
263,E,5,300,694
264,A,9,120,372
265,C,4,80,4
266,B,1,200,863
267,B,4,200,948
268,C,6,80,215
269,B,5,200,253
270,A,1,120,501
271,A,4,120,132
272,C,6,80,590
273,B,4,200,58
274,A,9,120,548
275,A,5,120,355
276,D,8,150,569
277,D,9,150,989
278,A,5,120,515
279,C,6,80,412
280,E,1,300,187
281,E,7,300,919
282,A,4,120,347
283,A,2,120,652
284,A,5,120,427
285,C,3,80,580
286,D,6,150,768
287,A,8,120,646
288,A,7,120,760
289,B,3,200,364
290,C,8,80,517
291,A,2,120,74
292,B,9,200,375
293,E,4,300,717
294,A,1,120,516
295,A,8,120,319
296,B,7,200,945
297,C,5,80,687
298,A,5,120,740
299,E,7,300,645
300,A,5,120,676
301,E,8,300,948
302,D,6,150,230
303,D,5,150,179
304,E,9,300,72
305,C,2,80,600
306,A,1,120,586
307,A,8,120,871
308,D,3,150,390
309,E,7,300,725
310,A,8,120,24
311,A,6,120,762
312,C,9,80,76
313,B,7,200,710
314,D,5,150,435
315,D,8,150,432
316,B,2,200,825
317,A,7,120,914
318,C,4,80,94
319,C,9,80,622
320,D,1,150,775
321,C,7,80,702
322,B,6,200,821
323,A,8,120,824
324,B,5,200,228
325,E,1,300,546
326,D,1,150,639
327,C,9,80,890
328,E,6,300,989
329,C,5,80,395
330,A,1,120,826
331,A,6,120,761
332,A,6,120,985
333,C,3,80,666
334,E,8,300,406
335,A,1,120,832
336,E,1,300,392
337,C,6,80,611
338,E,1,300,83
339,C,6,80,369
340,C,1,80,749
341,D,6,150,808
342,C,3,80,877
343,C,8,80,891
344,B,6,200,548
345,A,1,120,612
346,D,5,150,611
347,D,8,150,338
348,D,3,150,502
349,B,6,200,148
350,C,5,80,107
351,A,6,120,992
352,E,1,300,101
353,C,7,80,518
354,B,9,200,951
355,C,2,80,632
356,C,5,80,88
357,B,4,200,545
358,D,6,150,219
359,D,6,150,887
360,A,2,120,249
361,A,2,120,138
362,D,4,150,391
363,E,1,300,499
364,C,9,80,166
365,E,7,300,972
366,C,7,80,209
367,D,3,150,594
368,A,3,120,927
369,A,1,120,319
370,E,3,300,573
371,A,3,120,666
372,D,4,150,939
373,E,4,300,583
374,C,3,80,98
375,A,8,120,109
376,B,8,200,203
377,A,1,120,756
378,C,7,80,116
379,E,2,300,317
380,C,1,80,265
381,B,3,200,971
382,D,4,150,603
383,A,6,120,590
384,E,5,300,275
385,D,4,150,448
386,C,8,80,391
387,E,4,300,618
388,D,2,150,485
389,E,3,300,741
390,B,6,200,372
391,B,8,200,196
392,A,8,120,7
393,A,9,120,790
394,B,7,200,655
395,E,2,300,884
396,B,8,200,373
397,A,7,120,897
398,B,8,200,721
399,B,3,200,627
400,E,7,300,137
401,D,9,150,457
402,A,3,120,705
403,E,6,300,357
404,B,2,200,979
405,B,2,200,761
406,D,5,150,824
407,A,5,120,747
408,A,7,120,653
409,C,2,80,656
410,A,7,120,985
411,D,5,150,331
412,C,6,80,731
413,C,8,80,292
414,B,4,200,119
415,B,7,200,102
416,A,6,120,437
417,C,2,80,17
418,B,8,200,526
419,D,9,150,66
420,B,5,200,326
421,B,4,200,606
422,C,6,80,221
423,C,8,80,144
424,E,3,300,537
425,D,1,150,765
426,C,4,80,862
427,A,4,120,859
428,D,1,150,250
429,D,9,150,328
430,C,3,80,365
431,D,5,150,847
432,C,6,80,309
433,B,8,200,407
434,E,6,300,592
435,B,3,200,701
436,C,6,80,466
437,C,1,80,742
438,B,4,200,987
439,A,6,120,953
440,A,7,120,434
441,A,3,120,32
442,C,9,80,441
443,D,7,150,601
444,C,1,80,689
445,D,2,150,679
446,B,1,200,205
447,E,9,300,573
448,D,9,150,731
449,A,7,120,404
450,C,3,80,90
451,B,5,200,339
452,A,4,120,965
453,B,7,200,28
454,E,9,300,843
455,C,2,80,457
456,C,8,80,603
457,E,9,300,355
458,C,9,80,6
459,D,7,150,345
460,B,9,200,767
461,A,9,120,117
462,E,3,300,830
463,D,4,150,609
464,A,2,120,877
465,A,3,120,292
466,E,5,300,416
467,D,5,150,325
468,A,6,120,889
469,A,7,120,203
470,D,7,150,884
471,C,1,80,227
472,A,2,120,144
473,B,9,200,202
474,D,2,150,731
475,A,6,120,988
476,E,1,300,645
477,B,3,200,744
478,A,2,120,635
479,B,3,200,79
480,B,5,200,214
481,C,6,80,597
482,B,9,200,325
483,C,4,80,642
484,D,7,150,520
485,C,6,80,342
486,E,2,300,65
487,A,8,120,88
488,D,7,150,97
489,D,7,150,419
490,E,8,300,609
491,C,1,80,125
492,A,1,120,327
493,C,8,80,999
494,B,4,200,297
495,C,5,80,894
496,D,8,150,732
497,A,5,120,486
498,C,4,80,651
499,A,6,120,860
500,A,5,120,827
501,B,7,200,627
502,B,7,200,566
503,D,4,150,684
504,E,5,300,425
505,A,3,120,799
506,E,4,300,64
507,D,4,150,553
508,A,3,120,721
509,A,5,120,952
510,E,5,300,761
511,C,7,80,388
512,B,4,200,342
513,C,4,80,500
514,E,9,300,60
515,B,6,200,959
516,C,4,80,765
517,B,2,200,766
518,A,6,120,162
519,C,2,80,141
520,B,5,200,901
521,B,6,200,461
522,B,4,200,370
523,C,3,80,351
524,D,7,150,897
525,C,2,80,409
526,E,6,300,251
527,C,4,80,957
528,B,6,200,269
529,A,4,120,886
530,C,4,80,518
531,C,4,80,251
532,B,9,200,607
533,A,7,120,476
534,A,3,120,365
535,E,3,300,27
536,C,6,80,463
537,A,6,120,373
538,A,4,120,69
539,D,9,150,240
540,D,4,150,126
541,A,9,120,870
542,E,4,300,322
543,A,2,120,336
544,B,2,200,658
545,C,5,80,332
546,E,4,300,659
547,B,7,200,292
548,E,5,300,772
549,B,6,200,514
550,C,4,80,821
551,C,2,80,994
552,D,9,150,990
553,B,7,200,608
554,D,4,150,203
555,B,3,200,659
556,D,3,150,557
557,C,9,80,381
558,E,5,300,473
559,D,3,150,209
560,B,5,200,708
561,B,2,200,723
562,C,4,80,97
563,B,2,200,881
564,A,2,120,876
565,E,8,300,99
566,D,1,150,575
567,E,7,300,382
568,C,5,80,584
569,D,8,150,923
570,D,1,150,745
571,A,7,120,737
572,C,5,80,452
573,B,4,200,874
574,A,7,120,430
575,A,2,120,779
576,E,1,300,281
577,E,1,300,756
578,E,1,300,890
579,A,5,120,987
580,B,7,200,57
581,D,2,150,510
582,E,8,300,524
583,B,4,200,906
584,C,3,80,682
585,E,8,300,393
586,D,2,150,42
587,C,3,80,245
588,C,3,80,263
589,D,1,150,979
590,E,6,300,229
591,A,2,120,981
592,D,1,150,121
593,D,2,150,824
594,D,6,150,109
595,C,4,80,611
596,B,6,200,269
597,A,9,120,99
598,E,8,300,417
599,E,1,300,37
600,B,8,200,492
601,D,9,150,977
602,A,6,120,120
603,E,5,300,69
604,E,6,300,658
605,D,6,150,311
606,B,9,200,758
607,A,4,120,874
608,B,2,200,61
609,B,9,200,898
